id	sentiment	review
4082_10	+	I taped The Morrison Murders on Lifetime Movie network and I watched The Morrison Murders on Lifetime, Lifetime Movie network and on Courttv. Jonathan Scarfe and John Corbett did a great job of playing Luke and Walker Morrison. I am glad that Walker got his brother Luke to confess of murdering his parents and their brother Bobby. I enjoy watching True stories on Lifetime, Lifetime Movie network and on Courttv. The Morrison Murders is a good movie to watch. Next time The Morrison Murders is on Lifetime, Lifetime Movienetwork or Courttv I am going to watch The Morrrison Murders again because My favorite actor John Corbbett is in The Morrison Murders. I give The Morrison Murders a ten because it is a good movie about Walker who tries to find out who killed his parents and his brother Bobby and at the end Walker discovers it was his brother Luke who murdered his parents and his brother Bobby.
8817_9	+	This blaxploitation classic about a kung fu mama who travels to Hong Kong to avenge her brother's death offers everything you learned to expect from the genre. Playmate Jeannie Bell (with a giant afro) really kicks ass and usually loses her clothes very quickly. If you don't take it all too seriously, the movie is great fun to watch. Stan Shaw gives a solid performance, Jeannie Bell is a little less convincing. Pam Grier she ain't.This is where Quentin Tarantino got his idea for the light switch scene in "Jackie Brown" from.The soundtrack by Don Julian is a gem and is frequently used in rap songs.
7803_10	+	i have been watching this movie repeatedly, since it came out. even though it is 8 years old now, it still cracks me up. the jokes are still hilarious and the way the characters are portrayed will make anybody of any age laugh like they've never laughed before. Enjoy it
1064_8	+	Make sure you make this delightful comedy part of your holiday season! If you admire Dennis Morgan or Barbara Stanwyck, this film is a fun one to watch. They really work well together as you would see in this movie. The whole cast was very entertaining. Since I'm a Dennis Morgan fan, this film was a real treat! But...everyone can enjoy it! Recommended!
6783_10	+	This game is one of the best horror/shooter games I've ever played. The plot is a little choppy, but the game never fails to send you plenty of chills and excitement. Many people shelved the game when they found that there are no cheat codes for it and very little health potions and ammo to be found. But actually, after you've gone through the game once, you are more familiar with the monsters and different rooms, so you can easily get by the second time around. The puzzles are great, not too hard, not too easy. There are tons of different monsters so you never get bored. And there are plenty of gaming areas. You really feel like you're in a good Stephen King novel as you play. It's nice and creepy. Pick this game up cheap and have some fun.
8575_2	-	I don't usually like to comment on the acting in a movie, because it is the one thing that people who have agenda against a film will go after. In this movie, I will make an exception. The acting in this film are below average all around. I mean halfway into the film, I wonder how the hell did the producer and/or the director gets around casting such an ensemble of people who can't act. Even-though the production value was good, the ill written story just compounded on top of the bad performance of the actors, and there is even a half-hearted attempts to a twist to the ending of the movie, which ends up quite confusing. Is all the Spanish horror films this disappointing?
1361_3	-	This movie states through its protagonist that the world is essentially sadness and pain and those that ignore this have blinders on. One can argue whether this is true or not. But even if you accept this as true, the movie's ending either A) disputes this by saying there can be some good in tragic situations or B) forgets this and uses a cliched montage in order to leave the audience feeling uplifted.That the movie metaphorically acquits its protagonist by presenting him as a sympathetic character despite any evidence for that sympathy shows contempt for the supporting characters who were the most compelling in the film.So what you have in this film is a script that is not consistent in its theme and direction that does not bring the ending into sync with the rest of the film. There are excellent performances given by every member of the cast especially Spacey, Olin, Martin Donovan, and Ann Magnuson. It's a shame that they weren't supported by a better writer/director.
4989_7	-	Too much added with too much taken away from a great western that was written by McMurtry about the Texas Rangers vs. the Indian. This screenplay takes that away only to fill this mini series with a lot of warm fuzzy relationships that in truth were secondary to the main storyline. It ends with a totally unbelievable and detached ending not written in the book that makes you question how we are to be transported to Lonesome Dove.The series main characters were in truth cast very well, the filming locations were excellent, but this mini series should have stayed true to what is a great book.
3345_10	+	Wonderful movie. Adult content. Lots of erotic scenes plus excellent music and dance scenes. My wife and I absolutely loved this movie and wish they'd make more like it.
11508_1	-	Every time I by pass this show on TV, I absolutely and truthfully want to claw my eyes out, and rip my ears off.It's so unbelievably horrible.The jokes aren't funny, the acting is completely terrible, and the whole entire show is one major disappointment.I hate Charlotte Arnold's guts, and I just want to punch her in the face or stab her with a knife every time I hear her talk. She is a no talent, low IQ, big waste on society, and I think she would be doing the world a favor if she just shuts the f*ck up and went away for a long time. Please, I say this with all my heart, DO NOT EVEN WATCH ONE EPISODE OF THIS SHOW!!!!!!It's not even worth 30 minutes of your life, and there are thousands of better things to do, including killing yourself, than watch this show for half an hour.
11252_7	+	black tar can't be snorted there's a documentary: dark end of the street about s.f. street punks and b.t. abuse - not bad - quite heavy. in wasted there's this stuff that looks like coke but should be something else... no big deal. black tar can't be snorted there's a documentary: dark end of the street about s.f. street punks and b.t. abuse - not bad - quite heavy. in wasted there's this stuff that looks like coke but should be something else... no big deal. black tar can't be snorted there's a documentary: dark end of the street about s.f. street punks and b.t. abuse - not bad - quite heavy. in wasted there's this stuff that looks like coke but should be something else... no big deal.
4978_1	-	When I heard Disney had the rights to "Underdog",I figured at the very least it would be a cool Pixar partnership affair,and we'd get a great Adults & Kids film like "The Incredibles". Alas...I forgot how Disney must dumb down classic material for today's dumbed down youth. What were they thinking? "Underdog" was a product of the 60's,your Prime Fanbase is in their 40's and 50's,why would you refocus it to 5 year olds? It should have been done ala "Roger Rabbit",half animated half real. Instead we get characters like Riff Raff ( a WOLF!! ) dumbed into another dog."Underdog" can't have an "energy pill",as we're now so "enlightened" it would obviously be a steroid or drugs reference.The only good casting was Patrick Warburton as "Cad" because he actually sorta resembles the cartoon version. Otherwise,old school "Underdog" fans should avoid this like the plague it is. What next? A live action version of "The Go-Go Gophers" disguised as a re-visionist history lesson? ( My advanced apologies if Disney jumps on this! )
11010_3	-	I'd heard this Japanese flick is edgy, creatively interesting, a "cool new thang" on the Asian movie-making scene ... maybe even something as innovative as Hideo Nakata's "Ringu" or Chan-wook Park's "Oldboy", especially the latter.You can imagine my disappointment when, instead, I found the movie disjointed both narratively and cinematically (though not in a way that a film aficionado appreciates), clich├Ò-ridden, even sadly silly instead of funny --- on the whole, a very bad knock- off of the "Pulp Fiction" style.I stopped watching after 30 minutes, when I gave up on it becoming something more than it is.
11576_1	-	I was watching the sci-fi channel when this steaming pile of crap came on. While not as bad as Wynorski's "Curse of the Komodo", this still sucks...BAD. Wynorski uses the same island as in "Curse of the Komodo", as well as the same actors and house. The effects are top notch (suprising) but thats about it........I don't know what else to say about this movie.......oh yeah! As in "Curse of the Komodo", the government gets involved and decides to bomb the island! Also....when i saw this part i laughed hysterically...A KOMANBRA!!! (part man, komodo AND cobra!). Overall this movie is utter crap even on bad movie standards. Just remember if Jim Wynorski had anything to do with a movie....steer clear....to avoid from falling asleep keep repeating "It's almost over..it's almost over...". 0 out of 5.
6610_4	-	Well, for a start, I must say that, here, in Russia, a saga of Geralt of Rivia is known and loved. Andrzej Sapkowski - a gifted writer, or, maybe, even genius of some sort - created one of the most realistic, honest, cynical and God d@mn well written fantasy worlds in a history of literature. And when such amazing material gets in a right hands well, see RPG game "Witcher" and you will understand what I am talking about."VedmakWiedzmin" is an excellent example of the opposite outcome.Lack of budget. Lack of directing. Lack of good script.These three whales of Disgusting Movie Making sunken this movie, ate it alive. Acting is good, sometimes even more than good but for god sake it can not save this project. I still have some faith though. I still hope that someday a new Vedmak movies will be created and entire world will see magnitude and breathtaking splendor of Sapkowski's books. p.s. But before that a Uwe Boll must be eliminated. Just in case, you know
10279_9	+	several years ago i saw this film, without subtitles, on television, and despite me not understanding a word of what the characters were saying i still got the general idea, and the mood of the film fascinated me no ends.at long last i saw it again a few weeks ago. my heart skipped when i saw the picture in the television guide, and for 8 days until the film was really shown i told everybody i knew to go and see it. the story reminded me a bit of alfred hitchcock's vertigo. a slow, brooding film about a guy who one day believes he sees the girlfriend that disappeared years before. what follows is a wild rollercoaster ride of flashbacks, changing perspectives and really inventive twists in the plot, and at the end of the film i was left breathless. i had definitely not got what i had expected (and i had actually already seen the film!). be prepared to be confused.9 out of 10
3184_10	+	there's only so much that i can take of Filipino films, especially nowadays where the trend is sex, action and slapstick comedy(which i hate). the fact that Nasaan Ka Man made me think and made me gape during the movie was a big plus. It's got good cinematic scenes and editing was great, especially the cinematography. i think that Claudine deserves the best actress here rather than getting one in the movie Milan. the fact that there's only so few Filipino movies that i really like. i think Cholo Laurel did such a great job in this movie. i truly truly loved this movie, technically and character development wise; the plot was complex and that's what made it terrific.
3698_4	-	This is the kind of movie that BEGS to be shown on TV at 3 or 4 in the morning, if at all.No doubt the film-makers responsible for "Attack of the 50 Foot Woman" thought they were making a pertinent statement about women and philandering and the dangers of the demon rum, all wrapped up in a sci-fi allegory. Or maybe it was a tax write-off.Either way, "Attack" proves best for the viewer under the following circumstances: a) extreme intoxication, b) seen on a double-bill with any of those Jacqueline Suzanne movies (maybe "Once is Not Enough"?) or c) just a night when you feel insecure and the world around you is a little too perfect. Pop in "Attack" and you'll feel great, guaranteed!It's good for a laugh at the expense of the hokey script, the rubbery special FX and that four-eyed sheriff. And I think the last line should be engraved in a monument somewhere in Washington D.C. - it's just that memorable.Four stars for "Attack of the 50 Foot Woman"; buy a copy, mail it to Gloria Steinem - she'll love you for it.
4684_2	-	This is awful, you just could't believe it. The score is annoying, the filming is bad, for example, sometimes you see the shadow of the cameraman appearing on some actors faces. The quality of the movie is ultra bad, seems like it was made in the 20ies. It's terrible. There is a bit of blood in the beginning and through the movie but always too dark filmed. No gore no effects. The director made some better one like Blood Rites. But out there there is a following of the man, 'cause searching to find this cheap flick isn't that hard but you have to pay hard earned cash for it. Surely this will get in my top ten of worst horrormovies ever, I don't know if I would call it horror. There is too much talking, you will get bloodthirsty after watching it
6644_1	-	To this day, I have never seen Elizabeth Shue in anything else because of the stench of this movie. Poorly acted, poorly plotted and racially Neanderthal, it took place in a Chicago where every black person apparently lived in a blues club. . SPOILER AHEAD. . . . . ..SPOILER: Her "blues" solo was even more painful to watch than her clueless acting and the intro into it - 'Nobody leaves without singing the blues' -- was as dumb as a post. The children her character was babysitting were insufferable and well before the movie's end I was wishing for something horrible to happen to all of them.I have to say though, there is one special thing about this movie; it takes a lot for a movie to offend me but this smoldering piece of tripe did what Chopper, the Phantom Menace and Catwoman could not -- make me sick to my stomach.
7330_7	+	I like this movie. I may be biased because I love dolphins. However, my 3 and 4 yr. old will sit and watch the whole movie.... It's not Oscar material, but definitely entertaining. The dolphin cinematography is well done with a beautiful backdrop of ocean scenery and sunsets. My favorite scene is when Flipper "flips" the pop can out of the water striking Sandy in the head. It's an endearing funny moment that makes me laugh every time. On the other hand, the villainous banterings of the bully boatman (forget his name) are a little hard to take. And the shark scene is far from reality. Question: do dolphins really make that much noise? Or is there some serious dubbing happening here? Bottom line: my kids like it and it keeps recycling through our VCR.
47_2	-	I caught this on IFC last week and I thought it was typical of the indie short subject film: heavy on style, little on substance and originality. Does it comes as any surprise that a coming out film stars an unusually attractive (and blond to boot) boy with 70s shag hair and too-cool-for-school clothes? Plus, this film wallows in late 1970s chic, which works for some (Sofia Coppola's "The Virgin Suicides" comes to mind) but not for this director.Another reviewer compared this to Harmony Korine's work and I agree. Yet I don't view this as a positive thing (what has HE done lately, anyway?). "Bobbycrush" is really just a waste of time and energy for all involved. If you happen to see it late night on cable, turn the channel and watch something else instead.
326_1	+	This is, without a doubt, the most hilarious movie I've ever seen. Seriously, if the makers of this movie are ever discovered, they'll put guys like Jim Carrey out of a job. Rent "Jack-O" tonight! Believe me, you won't regret it!
2366_2	-	A good ol' boy film is almost required to have moonshine, car chases, a storyline that has a vague resemblance to "plot" and at least one very pretty country gal, barefoot with short shorts and a low top. The pretty gal is here (dressed in designer jeans)-- but the redneck prerequisites stop there. Jimmy Dean is a natural as a sausage spokesman but as a tough guy former sheriff, he comes up way short. Big John is big, but he isn't convincing with the "bad" part of his moniker. Bug-eyed Jack Elam is a hoot as always and Bo Hopkins has been playing this same part for decades; Ned Beatty also does his part in a small role... but there is no STORY. It smells more like an episode of In The Heat Of The Night than a feature film. Cornball cornpone with easily predictable sentiment. Perhaps the most glaring problem with this movie is Charlie Daniels singing the theme. You know the one; it was made famous by... Jimmy Dean.
4311_2	-	What a clunker!It MUST have been made for TV or Cable.Look: forget the screenplay - forget the bunch of forgettable actors. Excuse me? Continuity? The NSA/NIA/whatever or whoever he is (an agent) takes-off in an F16 - is shown in an F18 chucking his guts up and, later, the aircraft shown taxiing is an F4 Phantom! Oooh, wish that I could be so cavalier.Apart from the male actors(!?) The women are WASPS: blue-eyed and long-legged and, eventually, get to cry about the heroes who save them. Even when a solid weld could save most of the cosmo- astro-nauts, the blond drops the welding tool. Duh!As an SF movie one out of ten. As a movie per se: 1/2 (that's a half point). They should have ditched the space station and headed for Mars.Major raspberries.
5439_1	-	I'd give this film a zero if I could. How anyone could rate it any higher is beyond me. Until I saw Rollerball, this was my pick for worst film ever from a major studio with a real budget (claiming Mangler 2 or Leprechaun in the Hood as the worst ever isn't really saying much, those are supposed to be bad)Tim Curry's mom must have needed surgery or something for him to agree to this non-sensical garbage. I'm really not sure what happened here. The novel was great, the director Frank Marshall had a solid track record with Alive and Arachnophobia (perhaps they should have changed the title to 'Africa'), the cast was good and the budget was there. You'd think someone would have bothered to read the script.You'd be better off watching Battlefield: Earth again than wasting your time with. Congo makes you long for the return of MST3K
3879_9	+	He did one at Christmas to try and bring back a number one song, and now the terrific Justin Lee Collins wanted to reunite the cast members and maybe some crew of one of his favourite TV shows as a kid, The A-Team. The only member he wouldn't be able to get was the late great George Peppard who played main character Col. John "Hannibal" Smith, but he did get some kind of psychic to try and help. He did manage to reunite all members including Dirk Benedict (Lt. Templeton "Faceman" Peck #2) who went to Celebrity Big Brother in 2007, Dwight Schultz (Capt. H.M. "Howling Mad" Murdock), Melinda Culea (Amy Amanda Allen), William Lucking (Col. Lynch) and Lance LeGault (Col. Roderick Decker, the only member of the team to die). He did talk to Mr. T (Sgt. Bosco "B.A." Baracus) in an anticipated interview, but he was unavailable to turn up at the reunion. It was really fun watching him trying to find them, and talking to them, even though they probably didn't want to, and the reunion of course is the great climax. Very good!
9825_2	-	Even though this film's trailer and poster imply that Sally Hemmings was an important character, I might not have been as shocked to discover she was just a minor (and I do mean Minor) character if this movie was suppose to being told by Sally's very own family! I mean if you are going to tell the story of a member of your family that has been ignored by history, would you really tell it with the man who relegated her to obscurity at the main character? His other lover (who happens to be white) as the actual love interest? I know I wouldn't! I am as pale as they come and normally a big fan of Merchent~Ivory flicks, but I couldn't stomach this film's treatment of poor Sally Hemmings.
